"","source","raw","FBgn","Symbol"
"1","dmmpmm2009.meme","MOTIF abd-A","FBgn0000014","abd-A"
"2","dmmpmm2009.meme","MOTIF Antp","FBgn0260642","Antp"
"3","dmmpmm2009.meme","MOTIF ap","FBgn0267978","ap"
"4","dmmpmm2009.meme","MOTIF bcd","FBgn0000166","bcd"
"5","dmmpmm2009.meme","MOTIF brk","FBgn0024250","brk"
"6","dmmpmm2009.meme","MOTIF byn","FBgn0011723","byn"
"7","dmmpmm2009.meme","MOTIF cad","FBgn0000251","cad"
"8","dmmpmm2009.meme","MOTIF Deaf1","FBgn0013799","Deaf1"
"9","dmmpmm2009.meme","MOTIF Dfd","FBgn0000439","Dfd"
"10","dmmpmm2009.meme","MOTIF dl","FBgn0260632","dl"
"11","dmmpmm2009.meme","MOTIF Dref","FBgn0015664","Dref"
"12","dmmpmm2009.meme","MOTIF Eip74EF","FBgn0000567","Eip74EF"
"13","dmmpmm2009.meme","MOTIF en","FBgn0000577","en"
"14","dmmpmm2009.meme","MOTIF eve","FBgn0000606","eve"
"15","dmmpmm2009.meme","MOTIF ftz","FBgn0001077","ftz"
"16","dmmpmm2009.meme","MOTIF grh","FBgn0259211","grh"
"17","dmmpmm2009.meme","MOTIF gt","FBgn0001150","gt"
"18","dmmpmm2009.meme","MOTIF hb","FBgn0001180","hb"
"19","dmmpmm2009.meme","MOTIF kni","FBgn0001320","kni"
"20","dmmpmm2009.meme","MOTIF Kr","FBgn0001325","Kr"
"21","dmmpmm2009.meme","MOTIF Mad","FBgn0011648","Mad"
"22","dmmpmm2009.meme","MOTIF Med","FBgn0288966","Med"
"23","dmmpmm2009.meme","MOTIF ovo","FBgn0003028","ovo"
"24","dmmpmm2009.meme","MOTIF pan","FBgn0085432","pan"
"25","dmmpmm2009.meme","MOTIF prd","FBgn0003145","prd"
"26","dmmpmm2009.meme","MOTIF sd","FBgn0003345","sd"
"27","dmmpmm2009.meme","MOTIF slbo","FBgn0005638","slbo"
"28","dmmpmm2009.meme","MOTIF sna","FBgn0003448","sna"
"29","dmmpmm2009.meme","MOTIF tin","FBgn0004110","tin"
"30","dmmpmm2009.meme","MOTIF tll","FBgn0003720","tll"
"31","dmmpmm2009.meme","MOTIF Trl","FBgn0013263","Trl"
"32","dmmpmm2009.meme","MOTIF ttk","FBgn0003870","ttk"
"33","dmmpmm2009.meme","MOTIF twi","FBgn0003900","twi"
"34","dmmpmm2009.meme","MOTIF Ubx","FBgn0003944","Ubx"
"35","dmmpmm2009.meme","MOTIF vvl","FBgn0086680","vvl"
"36","dmmpmm2009.meme","MOTIF zen","FBgn0004053","zen"
"37","dmmpmm2009.meme","MOTIF z","FBgn0004050","z"
"38","dmmpmm2009.meme","MOTIF br-Z1","FBgn0283451","br"
"39","dmmpmm2009.meme","MOTIF br-Z2","FBgn0283451","br"
"40","dmmpmm2009.meme","MOTIF br-Z3","FBgn0283451","br"
"41","dmmpmm2009.meme","MOTIF br-Z4","FBgn0283451","br"
