"","raw","gene_raw","OTF","ID","Temp","Uniprot_Name","FBgn_db","Symbol_db"
"24","MOTIF OTF0020.1 A7VJJ6_DROME_B1H","OTF0020.1 A7VJJ6_DROME_B1H","OTF0020","A7VJJ6_DROME_B1H","A7VJJ6","A7VJJ6_DROME","FBgn0039411","dys"
"31","MOTIF OTF0026.1 A8VEM3_DROME_B1H","OTF0026.1 A8VEM3_DROME_B1H","OTF0026","A8VEM3_DROME_B1H","A8VEM3","A8VEM3_DROME","FBgn0000472","dm"
"37","MOTIF OTF0031.1 A9YHI4_DROME_B1H","OTF0031.1 A9YHI4_DROME_B1H","OTF0031","A9YHI4_DROME_B1H","A9YHI4","A9YHI4_DROME","FBgn0030532","CG11071"
"48","MOTIF OTF0037.1 ABRU_DROME_B1H","OTF0037.1 ABRU_DROME_B1H","OTF0037","ABRU_DROME_B1H","ABRU","ABRU_DROME","FBgn0259750","ab"
"49","MOTIF OTF0038.1 ADF1_DROME_B1H","OTF0038.1 ADF1_DROME_B1H","OTF0038","ADF1_DROME_B1H","ADF1","ADF1_DROME","FBgn0000054","Adf1"
"50","MOTIF OTF0038.2 ADF1_DROME_DNaseI","OTF0038.2 ADF1_DROME_DNaseI","OTF0038","ADF1_DROME_DNaseI","ADF1","ADF1_DROME","FBgn0000054","Adf1"
"57","MOTIF OTF0043.1 APTE_DROME_B1H","OTF0043.1 APTE_DROME_B1H","OTF0043","APTE_DROME_B1H","APTE","APTE_DROME","FBgn0000099","ap"
"58","MOTIF OTF0043.2 APTE_DROME_DNaseI","OTF0043.2 APTE_DROME_DNaseI","OTF0043","APTE_DROME_DNaseI","APTE","APTE_DROME","FBgn0000099","ap"
"61","MOTIF OTF0045.1 ARNT_DROME_B1H","OTF0045.1 ARNT_DROME_B1H","OTF0045","ARNT_DROME_B1H","ARNT","ARNT_DROME","FBgn0015014","tgo"
"77","MOTIF OTF0061.1 B7Z0S3_DROME_B1H","OTF0061.1 B7Z0S3_DROME_B1H","OTF0061","B7Z0S3_DROME_B1H","B7Z0S3","B7Z0S3_DROME","FBgn0015542","sima"
"79","MOTIF OTF0063.1 B7Z0U8_DROME_B1H","OTF0063.1 B7Z0U8_DROME_B1H","OTF0063","B7Z0U8_DROME_B1H","B7Z0U8","B7Z0U8_DROME","FBgn0259172","rn"
"90","MOTIF OTF0072.1 BRC1_DROME_B1H","OTF0072.1 BRC1_DROME_B1H","OTF0072","BRC1_DROME_B1H","BRC1","BRC1_DROME","FBgn0000210","br"
"91","MOTIF OTF0072.2 BRC1_DROME_DNaseI","OTF0072.2 BRC1_DROME_DNaseI","OTF0072","BRC1_DROME_DNaseI","BRC1","BRC1_DROME","FBgn0000210","br"
"92","MOTIF OTF0073.1 BRC4_DROME_DNaseI","OTF0073.1 BRC4_DROME_DNaseI","OTF0073","BRC4_DROME_DNaseI","BRC4","BRC4_DROME","FBgn0000210","br"
"117","MOTIF OTF0093.1 CIC_DROME_B1H","OTF0093.1 CIC_DROME_B1H","OTF0093","CIC_DROME_B1H","CIC","CIC_DROME","FBgn0028386","cic"
"124","MOTIF OTF0100.1 DA_DROME_B1H","OTF0100.1 DA_DROME_B1H","OTF0100","DA_DROME_B1H","DA","DA_DROME","FBgn0000413","da"
"126","MOTIF OTF0102.1 DEI_DROME_B1H","OTF0102.1 DEI_DROME_B1H","OTF0102","DEI_DROME_B1H","DEI","DEI_DROME","FBgn0008649","dei"
"146","MOTIF OTF0119.1 ESCA_DROME_B1H","OTF0119.1 ESCA_DROME_B1H","OTF0119","ESCA_DROME_B1H","ESCA","ESCA_DROME","FBgn0001981","esg"
"161","MOTIF OTF0130.1 FBpp0070252_DNaseI","OTF0130.1 FBpp0070252_DNaseI","OTF0130","FBpp0070252_DNaseI","FBpp0070252","FBpp0070252","FBgn0000210","br"
"162","MOTIF OTF0131.1 FBpp0070255_DNaseI","OTF0131.1 FBpp0070255_DNaseI","OTF0131","FBpp0070255_DNaseI","FBpp0070255","FBpp0070255","FBgn0000210","br"
"163","MOTIF OTF0132.1 FBpp0070256_DNaseI","OTF0132.1 FBpp0070256_DNaseI","OTF0132","FBpp0070256_DNaseI","FBpp0070256","FBpp0070256","FBgn0000210","br"
"202","MOTIF OTF0162.1 FBpp0085395_B1H","OTF0162.1 FBpp0085395_B1H","OTF0162","FBpp0085395_B1H","FBpp0085395","FBpp0085395","FBgn0000099","ap"
"203","MOTIF OTF0162.2 FBpp0085395_DNaseI","OTF0162.2 FBpp0085395_DNaseI","OTF0162","FBpp0085395_DNaseI","FBpp0085395","FBpp0085395","FBgn0000099","ap"
"204","MOTIF OTF0163.1 FBpp0085446_DNaseI","OTF0163.1 FBpp0085446_DNaseI","OTF0163","FBpp0085446_DNaseI","FBpp0085446","FBpp0085446","FBgn0000054","Adf1"
"211","MOTIF OTF0170.1 FBpp0088378_B1H","OTF0170.1 FBpp0088378_B1H","OTF0170","FBpp0088378_B1H","FBpp0088378","FBpp0088378","FBgn0005630","lola"
"226","MOTIF OTF0193.1 FBpp0289659_DNaseI","OTF0193.1 FBpp0289659_DNaseI","OTF0193","FBpp0289659_DNaseI","FBpp0289659","FBpp0289659","FBgn0000210","br"
"227","MOTIF OTF0194.1 FBpp0289731_B1H","OTF0194.1 FBpp0289731_B1H","OTF0194","FBpp0289731_B1H","FBpp0289731","FBpp0289731","FBgn0000099","ap"
"228","MOTIF OTF0194.2 FBpp0289731_DNaseI","OTF0194.2 FBpp0289731_DNaseI","OTF0194","FBpp0289731_DNaseI","FBpp0289731","FBpp0289731","FBgn0000099","ap"
"264","MOTIF OTF0226.1 HMX_DROME_B1H","OTF0226.1 HMX_DROME_B1H","OTF0226","HMX_DROME_B1H","HMX","HMX_DROME","FBgn0085448","Hmx"
"266","MOTIF OTF0228.1 HR4_DROME_B1H","OTF0228.1 HR4_DROME_B1H","OTF0228","HR4_DROME_B1H","HR4","HR4_DROME","FBgn0023546","Hr4"
"294","MOTIF OTF0251.1 O61458_DROME_DNaseI","OTF0251.1 O61458_DROME_DNaseI","OTF0251","O61458_DROME_DNaseI","O61458","O61458_DROME","FBgn0011655","Med"
"296","MOTIF OTF0253.1 O62609_DROME_DNaseI","OTF0253.1 O62609_DROME_DNaseI","OTF0253","O62609_DROME_DNaseI","O62609","O62609_DROME","FBgn0011655","Med"
"298","MOTIF OTF0255.1 O76259_DROME_DNaseI","OTF0255.1 O76259_DROME_DNaseI","OTF0255","O76259_DROME_DNaseI","O76259","O76259_DROME","FBgn0011655","Med"
"299","MOTIF OTF0256.1 O77069_DROME_DNaseI","OTF0256.1 O77069_DROME_DNaseI","OTF0256","O77069_DROME_DNaseI","O77069","O77069_DROME","FBgn0011655","Med"
"340","MOTIF OTF0293.1 Q0KHX8_DROME_B1H","OTF0293.1 Q0KHX8_DROME_B1H","OTF0293","Q0KHX8_DROME_B1H","Q0KHX8","Q0KHX8_DROME","FBgn0003986","vnd"
"341","MOTIF OTF0293.2 Q0KHX8_DROME_DNaseI","OTF0293.2 Q0KHX8_DROME_DNaseI","OTF0293","Q0KHX8_DROME_DNaseI","Q0KHX8","Q0KHX8_DROME","FBgn0003986","vnd"
"342","MOTIF OTF0294.1 Q24016_DROME_B1H","OTF0294.1 Q24016_DROME_B1H","OTF0294","Q24016_DROME_B1H","Q24016","Q24016_DROME","FBgn0085448","Hmx"
"343","MOTIF OTF0295.1 Q24079_DROME_B1H","OTF0295.1 Q24079_DROME_B1H","OTF0295","Q24079_DROME_B1H","Q24079","Q24079_DROME","FBgn0013948","Eip93F"
"356","MOTIF OTF0308.1 Q2PE13_DROME_B1H","OTF0308.1 Q2PE13_DROME_B1H","OTF0308","Q2PE13_DROME_B1H","Q2PE13","Q2PE13_DROME","FBgn0050420","Atf-2"
"360","MOTIF OTF0312.1 Q32KD0_DROME_B1H","OTF0312.1 Q32KD0_DROME_B1H","OTF0312","Q32KD0_DROME_B1H","Q32KD0","Q32KD0_DROME","FBgn0042650","disco-r"
"386","MOTIF OTF0336.1 Q5U1D9_DROME_B1H","OTF0336.1 Q5U1D9_DROME_B1H","OTF0336","Q5U1D9_DROME_B1H","Q5U1D9","Q5U1D9_DROME","FBgn0029775","Vsx1"
"392","MOTIF OTF0342.1 Q6WSQ9_DROME_B1H","OTF0342.1 Q6WSQ9_DROME_B1H","OTF0342","Q6WSQ9_DROME_B1H","Q6WSQ9","Q6WSQ9_DROME","FBgn0067895","Mitf"
"397","MOTIF OTF0347.1 Q7JUZ9_DROME_B1H","OTF0347.1 Q7JUZ9_DROME_B1H","OTF0347","Q7JUZ9_DROME_B1H","Q7JUZ9","Q7JUZ9_DROME","FBgn0033182","CG1621"
"401","MOTIF OTF0351.1 Q7K3X3_DROME_B1H","OTF0351.1 Q7K3X3_DROME_B1H","OTF0351","Q7K3X3_DROME_B1H","Q7K3X3","Q7K3X3_DROME","FBgn0039905","CG2052"
"405","MOTIF OTF0355.1 Q7KPL1_DROME_DNaseI","OTF0355.1 Q7KPL1_DROME_DNaseI","OTF0355","Q7KPL1_DROME_DNaseI","Q7KPL1","Q7KPL1_DROME","FBgn0011655","Med"
"412","MOTIF OTF0361.1 Q7KSP5_DROME_B1H","OTF0361.1 Q7KSP5_DROME_B1H","OTF0361","Q7KSP5_DROME_B1H","Q7KSP5","Q7KSP5_DROME","FBgn0086910","l(3)neo38"
"447","MOTIF OTF0391.1 Q8IP13_DROME_B1H","OTF0391.1 Q8IP13_DROME_B1H","OTF0391","Q8IP13_DROME_B1H","Q8IP13","Q8IP13_DROME","FBgn0051782","CG31782"
"448","MOTIF OTF0392.1 Q8IPA9_DROME_B1H","OTF0392.1 Q8IPA9_DROME_B1H","OTF0392","Q8IPA9_DROME_B1H","Q8IPA9","Q8IPA9_DROME","FBgn0052830","CG32830"
"451","MOTIF OTF0395.1 Q8IRX4_DROME_DNaseI","OTF0395.1 Q8IRX4_DROME_DNaseI","OTF0395","Q8IRX4_DROME_DNaseI","Q8IRX4","Q8IRX4_DROME","FBgn0000210","br"
"474","MOTIF OTF0417.1 Q8T990_DROME_B1H","OTF0417.1 Q8T990_DROME_B1H","OTF0417","Q8T990_DROME_B1H","Q8T990","Q8T990_DROME","FBgn0029775","Vsx1"
"488","MOTIF OTF0430.1 Q960S0_DROME_B1H","OTF0430.1 Q960S0_DROME_B1H","OTF0430","Q960S0_DROME_B1H","Q960S0","Q960S0_DROME","FBgn0012049","BtbVII"
"496","MOTIF OTF0438.1 Q9U010_DROME_DNaseI","OTF0438.1 Q9U010_DROME_DNaseI","OTF0438","Q9U010_DROME_DNaseI","Q9U010","Q9U010_DROME","FBgn0011655","Med"
"516","MOTIF OTF0459.1 Q9VH87_DROME_B1H","OTF0459.1 Q9VH87_DROME_B1H","OTF0459","Q9VH87_DROME_B1H","Q9VH87","Q9VH87_DROME","FBgn0037735","CG16899"
"546","MOTIF OTF0489.1 Q9VZN4_DROME_B1H","OTF0489.1 Q9VZN4_DROME_B1H","OTF0489","Q9VZN4_DROME_B1H","Q9VZN4","Q9VZN4_DROME","FBgn0035454","CG12029"
"547","MOTIF OTF0490.1 Q9W064_DROME_B1H","OTF0490.1 Q9W064_DROME_B1H","OTF0490","Q9W064_DROME_B1H","Q9W064","Q9W064_DROME","FBgn0250756","CG42234"
"551","MOTIF OTF0494.1 Q9W1W2_DROME_B1H","OTF0494.1 Q9W1W2_DROME_B1H","OTF0494","Q9W1W2_DROME_B1H","Q9W1W2","Q9W1W2_DROME","FBgn0034810","CG9895"
"556","MOTIF OTF0499.1 Q9W4B3_DROME_B1H","OTF0499.1 Q9W4B3_DROME_B1H","OTF0499","Q9W4B3_DROME_B1H","Q9W4B3","Q9W4B3_DROME","FBgn0053980","Vsx2"
"583","MOTIF OTF0522.1 TKR_DROME_B1H","OTF0522.1 TKR_DROME_B1H","OTF0522","TKR_DROME_B1H","TKR","TKR_DROME","FBgn0003715","CG16778"
"598","MOTIF OTF0531.1 VND_DROME_B1H","OTF0531.1 VND_DROME_B1H","OTF0531","VND_DROME_B1H","VND","VND_DROME","FBgn0003986","vnd"
"599","MOTIF OTF0531.2 VND_DROME_DNaseI","OTF0531.2 VND_DROME_DNaseI","OTF0531","VND_DROME_DNaseI","VND","VND_DROME","FBgn0003986","vnd"
"1010","MOTIF OTF0388.1 ","OTF0388.1","OTF0388","Q8IMG6_DROME_DNaseI","Q8IMG6","Q8IMG6_DROME","FBgn0011655","Med"
