"raw" "gene_raw" "OTF" "ID" "Temp" "Uniprot_Name" "FBgn_db" "Symbol_db" "FBgn" "Symbol" "source"
"MOTIF OTF0001.1 7UP1_DROME_B1H" "OTF0001.1 7UP1_DROME_B1H" "OTF0001" "7UP1_DROME_B1H" "7UP1" "7UP1_DROME" "FBgn0003651" "svp" "FBgn0003651" "svp" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0002.1 A0AQF9_DROME_B1H" "OTF0002.1 A0AQF9_DROME_B1H" "OTF0002" "A0AQF9_DROME_B1H" "A0AQF9" "A0AQF9_DROME" "FBgn0034599" "CG9437" "FBgn0034599" "hng1" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0003.1 A0JQ60_DROME_SELEX" "OTF0003.1 A0JQ60_DROME_SELEX" "OTF0003" "A0JQ60_DROME_SELEX" "A0JQ60" "A0JQ60_DROME" "FBgn0000567" "Eip74EF" "FBgn0000567" "Eip74EF" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0003.2 A0JQ60_DROME_DNaseI" "OTF0003.2 A0JQ60_DROME_DNaseI" "OTF0003" "A0JQ60_DROME_DNaseI" "A0JQ60" "A0JQ60_DROME" "FBgn0000567" "Eip74EF" "FBgn0000567" "Eip74EF" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0004.1 A1A6R5_DROME_B1H" "OTF0004.1 A1A6R5_DROME_B1H" "OTF0004" "A1A6R5_DROME_B1H" "A1A6R5" "A1A6R5_DROME" "FBgn0004914" "Hnf4" "FBgn0004914" "Hnf4" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0005.1 A1Z858_DROME_DNaseI" "OTF0005.1 A1Z858_DROME_DNaseI" "OTF0005" "A1Z858_DROME_DNaseI" "A1Z858" "A1Z858_DROME" "FBgn0000448" "Hr46" "FBgn0000448" "Hr3" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0005.2 A1Z858_DROME_B1H" "OTF0005.2 A1Z858_DROME_B1H" "OTF0005" "A1Z858_DROME_B1H" "A1Z858" "A1Z858_DROME" "FBgn0000448" "Hr46" "FBgn0000448" "Hr3" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0006.1 A1Z8F4_DROME_B1H" "OTF0006.1 A1Z8F4_DROME_B1H" "OTF0006" "A1Z8F4_DROME_B1H" "A1Z8F4" "A1Z8F4_DROME" "FBgn0003396" "shn" "FBgn0003396" "shn" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0006.2 A1Z8F4_DROME_DNaseI" "OTF0006.2 A1Z8F4_DROME_DNaseI" "OTF0006" "A1Z8F4_DROME_DNaseI" "A1Z8F4" "A1Z8F4_DROME" "FBgn0003396" "shn" "FBgn0003396" "shn" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0007.1 A1Z913_DROME_B1H" "OTF0007.1 A1Z913_DROME_B1H" "OTF0007" "A1Z913_DROME_B1H" "A1Z913" "A1Z913_DROME" "FBgn0033748" "vis" "FBgn0033748" "vis" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0008.1 A1ZA01_DROME_B1H" "OTF0008.1 A1ZA01_DROME_B1H" "OTF0008" "A1ZA01_DROME_B1H" "A1ZA01" "A1ZA01_DROME" "FBgn0034012" "Hr51" "FBgn0034012" "Hr51" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0009.1 A1ZB05_DROME_DNaseI" "OTF0009.1 A1ZB05_DROME_DNaseI" "OTF0009" "A1ZB05_DROME_DNaseI" "A1ZB05" "A1ZB05_DROME" "FBgn0259211" "grh" "FBgn0259211" "grh" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0010.1 A1ZBV6_DROME_B1H" "OTF0010.1 A1ZBV6_DROME_B1H" "OTF0010" "A1ZBV6_DROME_B1H" "A1ZBV6" "A1ZBV6_DROME" "FBgn0034520" "CG13424" "FBgn0034520" "lms" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0011.1 A2VEF7_DROME_B1H" "OTF0011.1 A2VEF7_DROME_B1H" "OTF0011" "A2VEF7_DROME_B1H" "A2VEF7" "A2VEF7_DROME" "FBgn0000157" "Dll" "FBgn0000157" "Dll" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0012.1 A4IJ65_DROME_B1H" "OTF0012.1 A4IJ65_DROME_B1H" "OTF0012" "A4IJ65_DROME_B1H" "A4IJ65" "A4IJ65_DROME" "FBgn0032587" "CG5953" "FBgn0032587" "CG5953" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0013.1 A4IJ80_DROME_B1H" "OTF0013.1 A4IJ80_DROME_B1H" "OTF0013" "A4IJ80_DROME_B1H" "A4IJ80" "A4IJ80_DROME" "FBgn0020378" "Sp1" "FBgn0020378" "Sp1" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0014.1 A4UZ51_DROME_B1H" "OTF0014.1 A4UZ51_DROME_B1H" "OTF0014" "A4UZ51_DROME_B1H" "A4UZ51" "A4UZ51_DROME" "FBgn0000546" "EcR" "FBgn0000546" "EcR" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0015.1 A4V1Y6_DROME_DNaseI" "OTF0015.1 A4V1Y6_DROME_DNaseI" "OTF0015" "A4V1Y6_DROME_DNaseI" "A4V1Y6" "A4V1Y6_DROME" "FBgn0013263" "Trl" "FBgn0013263" "Trl" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0016.1 A4V1Y7_DROME_DNaseI" "OTF0016.1 A4V1Y7_DROME_DNaseI" "OTF0016" "A4V1Y7_DROME_DNaseI" "A4V1Y7" "A4V1Y7_DROME" "FBgn0013263" "Trl" "FBgn0013263" "Trl" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0017.1 A4V304_DROME_B1H" "OTF0017.1 A4V304_DROME_B1H" "OTF0017" "A4V304_DROME_B1H" "A4V304" "A4V304_DROME" "FBgn0000015" "Abd-B" "FBgn0000015" "Abd-B" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0017.2 A4V304_DROME_DNaseI" "OTF0017.2 A4V304_DROME_DNaseI" "OTF0017" "A4V304_DROME_DNaseI" "A4V304" "A4V304_DROME" "FBgn0000015" "Abd-B" "FBgn0000015" "Abd-B" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0018.1 A4V334_DROME_B1H" "OTF0018.1 A4V334_DROME_B1H" "OTF0018" "A4V334_DROME_B1H" "A4V334" "A4V334_DROME" "FBgn0004652" "fru" "FBgn0004652" "fru" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0019.1 A4VCK2_DROME_B1H" "OTF0019.1 A4VCK2_DROME_B1H" "OTF0019" "A4VCK2_DROME_B1H" "A4VCK2" "A4VCK2_DROME" "FBgn0036274" "CG4328" "FBgn0036274" "CG4328" "OnTheFly_2014_Drosophila.meme"
"MOTIF OTF0021.1 A8DY91_DROME_DNaseI" "OTF0021.1 A8DY91_DROME_DNaseI" "OTF0021" "A8DY91_DROME_DNaseI" "A8DY91" "A8DY91_DROME" "FBgn0000448" "Hr46" "FBgn0000448" "Hr3" "OnTheFly_2014_Drosophila.meme"
