"raw" "gene_raw" "FBgn_raw" "symbol_raw" "FBgn" "Symbol" "source"
"MOTIF FBgn0000014 AbdA_Cell" "FBgn0000014 AbdA_Cell" "FBgn0000014" "AbdA" "FBgn0000014" "abd-A" "fly_factor_survey.meme"
"MOTIF FBgn0000014_2 Abd-A_FlyReg" "FBgn0000014_2 Abd-A_FlyReg" "FBgn0000014" "Abd-A" "FBgn0000014" "abd-A" "fly_factor_survey.meme"
"MOTIF FBgn0000014_3 AbdA_SOLEXA" "FBgn0000014_3 AbdA_SOLEXA" "FBgn0000014" "AbdA" "FBgn0000014" "abd-A" "fly_factor_survey.meme"
"MOTIF FBgn0000015 AbdB_Cell" "FBgn0000015 AbdB_Cell" "FBgn0000015" "AbdB" "FBgn0000015" "Abd-B" "fly_factor_survey.meme"
"MOTIF FBgn0000015_2 Abd-B_FlyReg" "FBgn0000015_2 Abd-B_FlyReg" "FBgn0000015" "Abd-B" "FBgn0000015" "Abd-B" "fly_factor_survey.meme"
"MOTIF FBgn0000015_3 AbdB_SOLEXA" "FBgn0000015_3 AbdB_SOLEXA" "FBgn0000015" "AbdB" "FBgn0000015" "Abd-B" "fly_factor_survey.meme"
"MOTIF FBgn0000022 ac_da_SANGER_5" "FBgn0000022 ac_da_SANGER_5" "FBgn0000022" "ac" "FBgn0000022" "ac" "fly_factor_survey.meme"
"MOTIF FBgn0000028 acj6_SOLEXA_5" "FBgn0000028 acj6_SOLEXA_5" "FBgn0000028" "acj6" "FBgn0000028" "acj6" "fly_factor_survey.meme"
"MOTIF FBgn0000061 Al_Cell" "FBgn0000061 Al_Cell" "FBgn0000061" "Al" "FBgn0000061" "al" "fly_factor_survey.meme"
"MOTIF FBgn0000061_2 Al_SOLEXA" "FBgn0000061_2 Al_SOLEXA" "FBgn0000061" "Al" "FBgn0000061" "al" "fly_factor_survey.meme"
"MOTIF FBgn0000097 aop_SANGER_10" "FBgn0000097 aop_SANGER_10" "FBgn0000097" "aop" "FBgn0000097" "aop" "fly_factor_survey.meme"
"MOTIF FBgn0000137 ase_da_SANGER_10" "FBgn0000137 ase_da_SANGER_10" "FBgn0000137" "ase" "FBgn0000137" "ase" "fly_factor_survey.meme"
"MOTIF FBgn0000157 Dll_Cell" "FBgn0000157 Dll_Cell" "FBgn0000157" "Dll" "FBgn0000157" "Dll" "fly_factor_survey.meme"
"MOTIF FBgn0000157_2 Dll_SOLEXA" "FBgn0000157_2 Dll_SOLEXA" "FBgn0000157" "Dll" "FBgn0000157" "Dll" "fly_factor_survey.meme"
"MOTIF FBgn0000166 Bcd_Cell" "FBgn0000166 Bcd_Cell" "FBgn0000166" "Bcd" "FBgn0000166" "bcd" "fly_factor_survey.meme"
"MOTIF FBgn0000166_2 bcd_NAR" "FBgn0000166_2 bcd_NAR" "FBgn0000166" "bcd" "FBgn0000166" "bcd" "fly_factor_survey.meme"
"MOTIF FBgn0000166_3 bcd_FlyReg" "FBgn0000166_3 bcd_FlyReg" "FBgn0000166" "bcd" "FBgn0000166" "bcd" "fly_factor_survey.meme"
"MOTIF FBgn0000166_4 Bcd_SOLEXA" "FBgn0000166_4 Bcd_SOLEXA" "FBgn0000166" "Bcd" "FBgn0000166" "bcd" "fly_factor_survey.meme"
"MOTIF FBgn0000233 btd_NAR" "FBgn0000233 btd_NAR" "FBgn0000233" "btd" "FBgn0000233" "btd" "fly_factor_survey.meme"
"MOTIF FBgn0000251 Cad_Cell" "FBgn0000251 Cad_Cell" "FBgn0000251" "Cad" "FBgn0000251" "cad" "fly_factor_survey.meme"
"MOTIF FBgn0000251_2 cad_FlyReg" "FBgn0000251_2 cad_FlyReg" "FBgn0000251" "cad" "FBgn0000251" "cad" "fly_factor_survey.meme"
"MOTIF FBgn0000251_3 Cad_SOLEXA" "FBgn0000251_3 Cad_SOLEXA" "FBgn0000251" "Cad" "FBgn0000251" "cad" "fly_factor_survey.meme"
"MOTIF FBgn0000286 Cf2-II_FlyReg" "FBgn0000286 Cf2-II_FlyReg" "FBgn0000286" "Cf2-II" "FBgn0000286" "Cf2" "fly_factor_survey.meme"
"MOTIF FBgn0000286_2 Cf2-PB_SANGER_5" "FBgn0000286_2 Cf2-PB_SANGER_5" "FBgn0000286" "Cf2-PB" "FBgn0000286" "Cf2" "fly_factor_survey.meme"
"MOTIF FBgn0000286_3 Cf2-PA_SANGER_2.5" "FBgn0000286_3 Cf2-PA_SANGER_2.5" "FBgn0000286" "Cf2-PA" "FBgn0000286" "Cf2" "fly_factor_survey.meme"
"MOTIF FBgn0000286_4 Cf2-PA_SOLEXA" "FBgn0000286_4 Cf2-PA_SOLEXA" "FBgn0000286" "Cf2-PA" "FBgn0000286" "Cf2" "fly_factor_survey.meme"
"MOTIF FBgn0000286_5 Cf2-PB_SOLEXA" "FBgn0000286_5 Cf2-PB_SOLEXA" "FBgn0000286" "Cf2-PB" "FBgn0000286" "Cf2" "fly_factor_survey.meme"
"MOTIF FBgn0000287 salr-F3-5_SOLEXA" "FBgn0000287 salr-F3-5_SOLEXA" "FBgn0000287" "salr-F3" "FBgn0000287" "salr" "fly_factor_survey.meme"
"MOTIF FBgn0000370 Crc_CG6272_SANGER_5" "FBgn0000370 Crc_CG6272_SANGER_5" "FBgn0000370" "Crc_CG6272" "FBgn0000370" "crc" "fly_factor_survey.meme"
"MOTIF FBgn0000411 D_NAR" "FBgn0000411 D_NAR" "FBgn0000411" "D" "FBgn0000411" "D" "fly_factor_survey.meme"
